attack_name,target_mode,num_random_init,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
PGD_Targeted_Fixed,Fixed,3,20,0.003,0.0,0.0,0,1000,9.93
PGD_Targeted_Fixed,Fixed,3,20,0.005,0.4,0.0,0,1000,9.88
PGD_Targeted_Fixed,Fixed,3,20,0.01,8.1,0.0,0,1000,10.05
PGD_Targeted_Fixed,Fixed,3,20,0.03,93.6,0.3,3,1000,10.23
PGD_Targeted_Fixed,Fixed,3,20,0.05,99.9,0.7,7,1000,10.21
PGD_Targeted_Fixed,Fixed,3,20,0.1,100.0,1.8,18,1000,9.81
PGD_Targeted_Fixed,Fixed,3,40,0.001,0.0,0.0,0,1000,9.76
PGD_Targeted_Fixed,Fixed,3,40,0.003,0.0,0.0,0,1000,9.96
PGD_Targeted_Fixed,Fixed,3,40,0.005,0.4,0.0,0,1000,9.94
PGD_Targeted_Fixed,Fixed,3,40,0.01,8.4,0.0,0,1000,10.52
PGD_Targeted_Fixed,Fixed,3,40,0.03,94.3,0.3,3,1000,9.92
PGD_Targeted_Fixed,Fixed,3,40,0.05,99.9,1.0,10,1000,9.93
PGD_Targeted_Fixed,Fixed,3,40,0.1,100.0,1.5,15,1000,9.81
PGD_Targeted_Fixed,Fixed,5,1,0.001,0.0,0.0,0,1000,9.92
PGD_Targeted_Fixed,Fixed,5,1,0.003,0.0,0.0,0,1000,10.0
PGD_Targeted_Fixed,Fixed,5,1,0.005,0.2,0.0,0,1000,9.81
PGD_Targeted_Fixed,Fixed,5,1,0.01,0.7,0.0,0,1000,9.82
PGD_Targeted_Fixed,Fixed,5,1,0.03,6.8,0.3,3,1000,10.0
PGD_Targeted_Fixed,Fixed,5,1,0.05,7.9,0.6,6,1000,10.07
PGD_Targeted_Fixed,Fixed,5,1,0.1,7.9,0.9,9,1000,9.77
PGD_Targeted_Fixed,Fixed,5,5,0.001,0.0,0.0,0,1000,10.45
PGD_Targeted_Fixed,Fixed,5,5,0.003,0.0,0.0,0,1000,9.95
PGD_Targeted_Fixed,Fixed,5,5,0.005,0.4,0.0,0,1000,9.85
PGD_Targeted_Fixed,Fixed,5,5,0.01,6.4,0.0,0,1000,10.22
PGD_Targeted_Fixed,Fixed,5,5,0.03,82.4,0.2,2,1000,9.99
PGD_Targeted_Fixed,Fixed,5,5,0.05,96.4,0.9,9,1000,10.07
PGD_Targeted_Fixed,Fixed,5,5,0.1,99.6,4.2,42,1000,9.6
PGD_Targeted_Fixed,Fixed,5,10,0.001,0.0,0.0,0,1000,9.55
PGD_Targeted_Fixed,Fixed,5,10,0.003,0.0,0.0,0,1000,9.78
PGD_Targeted_Fixed,Fixed,5,10,0.005,0.4,0.0,0,1000,9.78
PGD_Targeted_Fixed,Fixed,5,10,0.01,7.8,0.0,0,1000,9.83
PGD_Targeted_Fixed,Fixed,5,10,0.03,90.6,0.1,1,1000,9.96
PGD_Targeted_Fixed,Fixed,5,10,0.05,99.6,0.8,8,1000,9.62
PGD_Targeted_Fixed,Fixed,5,10,0.1,100.0,3.1,31,1000,9.83
PGD_Targeted_Fixed,Fixed,5,20,0.001,0.0,0.0,0,1000,10.12
PGD_Targeted_Fixed,Fixed,5,20,0.003,0.0,0.0,0,1000,9.7
PGD_Targeted_Fixed,Fixed,5,20,0.005,0.4,0.0,0,1000,9.81
PGD_Targeted_Fixed,Fixed,5,20,0.01,8.1,0.0,0,1000,9.82
PGD_Targeted_Fixed,Fixed,5,20,0.03,93.2,0.1,1,1000,9.75
PGD_Targeted_Fixed,Fixed,5,20,0.05,99.9,0.5,5,1000,9.75
PGD_Targeted_Fixed,Fixed,5,20,0.1,100.0,1.3,13,1000,9.66
PGD_Targeted_Fixed,Fixed,5,40,0.001,0.0,0.0,0,1000,10.32
PGD_Targeted_Fixed,Fixed,5,40,0.003,0.0,0.0,0,1000,9.84
PGD_Targeted_Fixed,Fixed,5,40,0.005,0.4,0.0,0,1000,9.78
PGD_Targeted_Fixed,Fixed,5,40,0.01,8.6,0.0,0,1000,10.01
PGD_Targeted_Fixed,Fixed,5,40,0.03,94.6,0.1,1,1000,10.51
PGD_Targeted_Fixed,Fixed,5,40,0.05,99.9,0.6,6,1000,9.91
PGD_Targeted_Fixed,Fixed,5,40,0.1,100.0,1.1,11,1000,9.72
