attack_name,target_mode,num_random_init,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.003,0.0,0.0,0,1000,9.89
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.005,0.0,0.0,0,1000,10.19
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.01,0.1,0.0,0,1000,9.86
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.03,44.6,0.0,0,1000,10.16
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.05,92.9,0.0,0,1000,10.03
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.1,100.0,0.6,6,1000,10.29
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.001,0.0,0.0,0,1000,9.77
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.003,0.0,0.0,0,1000,10.11
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.005,0.0,0.0,0,1000,10.23
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.01,0.2,0.0,0,1000,10.04
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.03,55.6,0.0,0,1000,10.21
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.05,96.7,0.0,0,1000,10.03
PGD_Targeted_LeastLikely,LeastLikely,5,20,0.1,100.0,0.2,2,1000,9.94
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.001,0.0,0.0,0,1000,9.96
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.003,0.0,0.0,0,1000,9.84
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.005,0.0,0.0,0,1000,10.15
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.01,0.2,0.0,0,1000,10.09
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.03,60.8,0.0,0,1000,10.51
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.05,98.0,0.0,0,1000,9.92
PGD_Targeted_LeastLikely,LeastLikely,5,40,0.1,100.0,0.0,0,1000,9.92
